name,city,latitude,longitude
Bandstocks,London,51.5142132,-0.1261853
BeatPick,London,51.5001524,-0.1262362
CareerPlayer,London,51.5001524,-0.1262362
Filmed Media,London,51.5359008,-0.2055081
Illumina Digital,London,51.503612,-0.25628
Keen Software House,London,51.5220763,-0.1153003
Kramaley Games,London,51.4944999,-0.1479318
Mixcloud,London,51.5399105,-0.2859795
Pikum,London,51.539778,-0.152998
Playfish,London,51.4991094,-0.1984802
Swiffen,London,51.5163382,-0.0828173
Tioti,London,51.524323,-0.081169
Vigster,London,51.500152,-0.126236
WorldTV,London,51.5001524,-0.1262362
blinkbox,London,51.520779,-0.10759
idiomag,London,51.500152,-0.126236
